event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
2013,118,Cruzeiro,away, 68 ,Substitution, Jajá , Daniel Júnior 
2014,118,Sampaio Corrêa,home, 71 ,Yellow card, Paulo Sérgio ,
2015,118,Sampaio Corrêa,home, 73 ,Substitution, Lucas Hipólito , Pará 
2016,118,Sampaio Corrêa,home, 73 ,Substitution, Eloir , Rafael Vila 
2017,118,Sampaio Corrêa,home, 80 ,Substitution, Ygor Catatau , Gabriel Poveda 
2018,118,Cruzeiro,away, 83 ,Substitution, Willian Oliveira , Filipe Machado 
2019,118,Cruzeiro,away, 83 ,Substitution, Wesley Gasolina , Geovane Jesus 
2020,118,Sampaio Corrêa,home, 89 ,Substitution, Lucas Araújo , André Luiz 
2021,118,Sampaio Corrêa,home, 89 ,Substitution, Mauricio , Matheusinho 
2022,119,Londrina,home, 58 ,Substitution, Emerson Souza , Leandrinho 
2023,119,CRB,away, 69 ,Substitution, Claudinei , Jalysson Gabriel 
2024,119,CRB,away, 69 ,Substitution, Gabriel Conceição , Fabinho 
2025,119,Londrina,home, 73 ,Substitution, Peu , Douglas Coutinho 
2026,119,Londrina,home, 73 ,Substitution, Matheus Lucas , Gabriel Santos 
2027,119,CRB,away, 81 ,Substitution, Richard Rodrigues , Emerson Negueba 
2028,119,CRB,away, 81 ,Substitution, Bruninho , Rafael Longuine 
2029,119,CRB,away, 83 ,Yellow card, Bruninho ,
2030,119,Londrina,home, 83 ,Substitution, Nádson , Gegé 
2031,119,CRB,away, 88 ,Substitution, Uillian Correia , Juninho Valoura 
2032,119,CRB,away, 88 ,Yellow card, Uillian Correia ,
2033,119,CRB,away, 90 ,Yellow card, Claudinei ,
2034,119,Londrina,home, 91 ,Goal, Alan Ruschel , Matheus Lucas 
2035,119,Londrina,home, 91 ,Yellow card, Mirandinha ,
2036,120,Chapecoense,home, 16 ,Own goal, Sousa , Own goal 
2037,120,Vila Nova,away, 38 ,Goal, Rafael Donato , Wagner 
2038,120,Chapecoense,home, 39 ,Yellow card, Matheus Bianqui ,
2039,120,Chapecoense,home, 45 ,Yellow card, Alisson Farias ,
2040,120,Chapecoense,home, 46 ,Substitution, Darlan , Matheus Bianqui 
2041,120,Chapecoense,home, 46 ,Substitution, Derek , Felipe Ferreira 
2042,120,Vila Nova,away, 62 ,Goal, Kaio Nunes , Daniel Amorim 
2043,120,Chapecoense,home, 63 ,Substitution, Lima , Alisson Farias 
2044,120,Vila Nova,away, 68 ,Substitution, Matheus Mancini , Kaio Nunes 
2045,120,Chapecoense,home, 71 ,Substitution, Jonathan , Thomas 
2046,120,Vila Nova,away, 72 ,Substitution, Arthur Rezende , Jean Martim 
2047,120,Vila Nova,away, 74 ,Yellow card, Arthur Rezende ,
2048,120,Chapecoense,home, 82 ,Yellow card, Maílton ,
2049,120,Vila Nova,away, 82 ,Yellow card, Wagner ,
2050,120,Chapecoense,home, 82 ,Substitution, Luizinho , Marcelo Freitas 
2051,120,Vila Nova,away, 84 ,Substitution, Matheuzinho , Wagner 
2052,120,Vila Nova,away, 85 ,Substitution, Hugo Cabral , Dentinho 
2053,121,Bahia,home, 10 ,Substitution, Gabriel Xavier , Luiz Otávio 
2054,121,Vasco,away, 19 ,Own goal, Ricardo Goulart , Own goal 
2055,121,Bahia,home, 28 ,Yellow card, Ignacio ,
2056,121,Vasco,away, 28 ,Yellow card, Yuri Lara ,
2057,121,Vasco,away, 31 ,Yellow card, Juan Quintero ,
2058,121,Bahia,home, 40 ,Own goal, Juan Quintero , Own goal 
2059,121,Bahia,home, 47 ,Goal, Ricardo Goulart , Lucas Mugni 
2060,121,Vasco,away, 55 ,Substitution, Figueiredo , Bruno Tubarão 
2061,121,Vasco,away, 56 ,Substitution, Gabriel Pec , Paulo Victor 
2062,121,Bahia,home, 66 ,Substitution, Luiz Henrique , Matheus Bahia 
2063,121,Bahia,home, 66 ,Substitution, Jonathan Copete , Ricardo Goulart 
2064,121,Bahia,home, 67 ,Substitution, Rezende , Lucas Mugni 
2065,121,Vasco,away, 70 ,Yellow card, Alex Teixeira ,
2066,121,Vasco,away, 75 ,Substitution, Eguinaldo , Alex Teixeira 
2067,121,Bahia,home, 78 ,Substitution, Ytalo , Matheus Davó 
2068,121,Vasco,away, 83 ,Substitution, Marlon Gomes , Yuri Lara 
2069,121,Vasco,away, 83 ,Substitution, Carlos Palacios , Nene 
2070,122,CSA,away, 14 ,Yellow card, Lucão ,
2071,122,Operário,home, 26 ,Yellow card, Lucas Souza ,
2072,122,CSA,away, 45 ,Yellow card, Igor ,
2073,122,Operário,home, 46 ,Substitution, Rafael Chorão , Lucas Souza 
2074,122,CSA,away, 56 ,Yellow card, Geovane ,
2075,122,Operário,home, 61 ,Substitution, Felipe Saraiva , Paulo Victor 
2076,122,Operário,home, 61 ,Substitution, Getterson , Paulo Sérgio 
2077,122,CSA,away, 62 ,Substitution, Lourenço , Yann Rolim 
2078,122,CSA,away, 62 ,Substitution, Rodrigo Rodrigues , Elton 
2079,122,Operário,home, 71 ,Substitution, Tomas Bastos , Javier Reina 
2080,122,CSA,away, 73 ,Yellow card, Giva Santos ,
2081,122,Operário,home, 74 ,Yellow card, Rafael Chorão ,
2082,122,CSA,away, 74 ,Substitution, Felipe Augusto , Rickson 
2083,122,CSA,away, 87 ,Substitution, Héctor Canteros , Lucas Barcelos 
2084,122,Operário,home, 87 ,Substitution, Júnior Brandão , Giovanni Pavani 
2085,122,CSA,away, 87 ,Substitution, Osvaldo , Igor 
2086,123,Criciúma,away, 17 ,Yellow card, Zé Marcos ,
2087,123,Criciúma,away, 43 ,Substitution, Rafael Bilu , Fernando Viana 
2088,123,Criciúma,away, 44 ,Yellow card, Rafael Bilu ,
2089,123,CRB,home, 48 ,Yellow card, Diego Ivo ,
2090,123,CRB,home, 58 ,Substitution, Gabriel Conceição , Anselmo Ramon 
2091,123,CRB,home, 58 ,Substitution, Bruninho , Rafael Longuine 
2092,123,CRB,home, 58 ,Substitution, Emerson Negueba , Paulinho Moccelin 
2093,123,Criciúma,away, 68 ,Substitution, Tony , Arilson 
2094,123,Criciúma,away, 68 ,Substitution, Renan Areias , Ítalo Melo 
2095,123,CRB,home, 73 ,Substitution, Juninho Valoura , Jalysson Gabriel 
2096,123,CRB,home, 74 ,Yellow card, Juninho Valoura ,
2097,123,CRB,home, 81 ,Substitution, Reginaldo Lopes , Guilherme Romão 
2098,123,Criciúma,away, 83 ,Yellow card, Renan Areias ,
2099,123,Criciúma,away, 87 ,Substitution, Eduardo Melo , Caio Dantas 
2100,123,Criciúma,away, 87 ,Substitution, Rayan , Rômulo 
2101,123,CRB,home, 92 ,Yellow card, Raul Prata ,
2102,123,Criciúma,away, 92 ,Yellow card, Gustavo ,
2103,124,Tombense,away, 11 ,Yellow card, Everton Galdino ,
2104,124,Guarani,home, 43 ,Goal, Yuri , Jamerson 
2105,124,Guarani,home, 47 ,Yellow card, Rodrigo Andrade ,
2106,124,Tombense,away, 46 ,Substitution, Matheus Frizzo , Zé Ricardo 
2107,124,Tombense,away, 52 ,Goal, Ednei , Nenê Bonilha 
2108,124,Guarani,home, 55 ,Goal, Edson ,
2109,124,Guarani,home, 64 ,Substitution, Bruno José , Edson 
2110,124,Guarani,home, 64 ,Substitution, Júlio César , Giovanni Augusto 
2111,124,Guarani,home, 70 ,Substitution, Madison , Leandro Vilela 
2112,124,Tombense,away, 72 ,Substitution, Bruno Mota , Ciel 
2113,124,Tombense,away, 73 ,Substitution, Guilherme Rend , Rodrigo Vasconcelos 
2114,124,Guarani,home, 79 ,Substitution, Bruno Miranda , Isaque 
2115,124,Guarani,home, 79 ,Substitution, Eduardo Person , Rodrigo Andrade 
2116,124,Tombense,away, 79 ,Substitution, Renatinho , Jean Lucas 
2117,124,Tombense,away, 79 ,Substitution, Kleiton , Everton Galdino 
2118,124,Guarani,home, 83 ,Yellow card, Bruno Miranda ,
2119,124,Guarani,home, 88 ,Yellow card, Madison ,
2120,125,Cruzeiro,home, 25 ,Goal, Edu , Zé Ivaldo 
2121,125,Náutico,away, 41 ,Yellow card, Jobson ,
2122,125,Náutico,away, 59 ,Substitution, Victor Ferraz , Thomaz 
2123,125,Náutico,away, 59 ,Yellow card, Jean Carlos ,
2124,125,Náutico,away, 59 ,Substitution, Éverton Brito , Julio Vitor 
2125,125,Náutico,away, 61 ,Yellow card, João Lucas ,
2126,125,Cruzeiro,home, 63 ,Substitution, Daniel Júnior , Edu 
2127,125,Cruzeiro,home, 63 ,Substitution, Lincoln , Bruno Rodrigues 
2128,125,Cruzeiro,home, 68 ,Goal, Eduardo Brock , Zé Ivaldo 
2129,125,Náutico,away, 73 ,Red card, João Paulo ,
2130,125,Cruzeiro,home, 75 ,Substitution, Geovane Jesus , Wesley Gasolina 
2131,125,Cruzeiro,home, 81 ,Penalty, Lincoln , Penalty 
2132,125,Cruzeiro,home, 83 ,Substitution, Rafael Silva , Eduardo Brock 
2133,125,Náutico,away, 83 ,Substitution, Pedro Vitor , Jean Carlos 
2134,125,Náutico,away, 84 ,Substitution, Wellington , Souza 
2135,125,Náutico,away, 84 ,Substitution, Júlio , Kieza 
2136,125,Cruzeiro,home, 84 ,Substitution, Jajá , Luvannor Henrique 
2137,125,Cruzeiro,home, 87 ,Goal, Jajá , Daniel Júnior 
2138,126,Grêmio,home, 41 ,Yellow card, Nicolas ,
2139,126,Grêmio,home, 46 ,Substitution, Edílson , Rodrigo Ferreira 
2140,126,Grêmio,home, 46 ,Substitution, Natã , Bruno Alves 
2141,126,Grêmio,home, 46 ,Substitution, Guilherme , Lucas Leiva 
2142,126,Grêmio,home, 60 ,Substitution, Elkeson , Jaminton Campaz 
2143,126,Ituano,away, 60 ,Substitution, Bruno Lopes , Aylon 
2144,126,Ituano,away, 69 ,Yellow card, Rafael Pereira ,
2145,126,Grêmio,home, 71 ,Substitution, Gabriel Silva , Bitello 
2146,126,Ituano,away, 71 ,Substitution, Gabriel Barros , Gerson Magrão 
2147,126,Ituano,away, 72 ,Substitution, Carlão , Rafael Pereira 
2148,126,Ituano,away, 81 ,Substitution, Dudu Vieira , Caique Gonçalves 
2149,126,Ituano,away, 81 ,Substitution, João Victor , Léo Ceará 
2150,126,Ituano,away, 87 ,Goal, Lucas Dias ,
2151,126,Ituano,away, 95 ,Yellow card, Lucas Dias ,
2152,127,Londrina,away, 13 ,Yellow card, Saimon ,
2153,127,Londrina,away, 14 ,Goal, Douglas Coutinho , Saimon 
2154,127,Brusque,home, 30 ,Yellow card, Matheus Trindade ,
2155,127,Brusque,home, 35 ,Substitution, Alex Ruan , Airton 
2156,127,Londrina,away, 43 ,Yellow card, João Paulo ,
2157,127,Brusque,home, 49 ,Yellow card, Álvaro ,
2158,127,Brusque,home, 46 ,Substitution, Gabriel Taliari , Álvaro 
2159,127,Brusque,home, 46 ,Substitution, Luiz Antônio , Matheus Trindade 
2160,127,Londrina,away, 48 ,Second yellow card, João Paulo ,
2161,127,Londrina,away, 50 ,Substitution, Gustavo , Leandrinho 
2162,127,Brusque,home, 57 ,Yellow card, Fernandinho ,
2163,127,Brusque,home, 59 ,Substitution, Paulo Baya , Balotelli 
2164,127,Brusque,home, 69 ,Substitution, Crislan , Fernandinho 
2165,127,Brusque,home, 72 ,Yellow card, Wallace ,
2166,127,Londrina,away, 82 ,Substitution, Denilson , Caprini 
2167,127,Londrina,away, 83 ,Substitution, Matheus Lucas , Douglas Coutinho 
2168,127,Londrina,away, 94 ,Substitution, Felipe Vieira , Gegé 
2169,127,Londrina,away, 95 ,Substitution, Emerson Souza , Mandaca 
2170,128,Novorizontino,home, 11 ,Goal, Ligger , Douglas Baggio 
2171,128,Ponte Preta,away, 28 ,Yellow card, Leandro Barcia ,
2172,128,Novorizontino,home, 32 ,Yellow card, Wálber ,
2173,128,Ponte Preta,away, 47 ,Yellow card, Artur ,
2174,128,Ponte Preta,away, 46 ,Substitution, Nicolas , Leandro Barcia 
2175,128,Ponte Preta,away, 46 ,Substitution, Jean Carlos , Artur 
2176,128,Ponte Preta,away, 47 ,Yellow card, Jean Carlos ,
2177,128,Ponte Preta,away, 57 ,Substitution, Rithely , Moisés Ribeiro 
2178,128,Ponte Preta,away, 57 ,Substitution, Echaporã , Fessin 
2179,128,Novorizontino,home, 61 ,Substitution, Romulo , Vinícius Leite 
2180,128,Novorizontino,home, 61 ,Substitution, Lucas Tocantins , Ronald 
2181,128,Novorizontino,home, 72 ,Substitution, Cléo Silva , Douglas Baggio 
2182,128,Novorizontino,home, 73 ,Yellow card, Romulo ,
2183,128,Ponte Preta,away, 79 ,Substitution, Cássio Gabriel , Wallisson 
2184,128,Novorizontino,home, 80 ,Substitution, Diego Quirino , Ronaldo 
2185,128,Novorizontino,home, 80 ,Substitution, Gustavo Bochecha , Ramón Martínez 
2186,128,Ponte Preta,away, 86 ,Yellow card, Igor Formiga ,
2187,128,Ponte Preta,away, 89 ,Goal, Lucca ,
2188,128,Novorizontino,home, 92 ,Second yellow card, Wálber ,
2189,128,Ponte Preta,away, 92 ,Yellow card, Echaporã ,
2190,129,Sampaio Corrêa,away, 29 ,Yellow card, Lucas Hipólito ,
2191,129,Sampaio Corrêa,away, 46 ,Substitution, Eloir , Ferreira 
2192,129,Sampaio Corrêa,away, 46 ,Substitution, Pimentinha , Rafael Vila 
2193,129,Vila Nova,home, 53 ,Yellow card, Alex Silva ,
2194,129,Vila Nova,home, 61 ,Substitution, Dentinho , Ralf 
2195,129,Vila Nova,home, 61 ,Substitution, Railan , Alex Silva 
2196,129,Vila Nova,home, 67 ,Substitution, Jean Martim , Arthur Rezende 
2197,129,Vila Nova,home, 68 ,Substitution, Matheuzinho , Wagner 
2198,129,Vila Nova,home, 68 ,Substitution, Hugo Cabral , Kaio Nunes 
2199,129,Sampaio Corrêa,away, 71 ,Substitution, Rafael Costa , Gabriel Poveda 
2200,129,Sampaio Corrêa,away, 78 ,Substitution, Pará , Lucas Hipólito 
2201,129,Sampaio Corrêa,away, 89 ,Substitution, Andrey , Léo Tocantins 
2202,130,Sport,home, 53 ,Yellow card, Denner ,
2203,130,Sport,home, 55 ,Yellow card, Kayke ,
